,amount,name,notes,recipe,units
0,['2.5'],milk,or almond milk,fruit custard ,cups
1,['5'],sugar,(you can use 5 to 6 tablespoon jaggery if using almond milk),fruit custard ,tablespoons
2,['3'],custard powder,,fruit custard ,tablespoons
3,['3'],"milk,",warm or at room temperature,fruit custard ,tablespoons
4,['1.5 to 2'],chopped fruits,,fruit custard ,cups
0,['1'],quick cooking oats,,oats halwa ,cup
1,['2'],ghee,(clarified butter),oats halwa ,tablespoons
2,['½'],mawa,"(khoya or evaporated milk solids) - grated or crumbled,",oats halwa ,cup
3,['2'],milk,,oats halwa ,cups
4,['⅓'],sugar,or add as required,oats halwa ,cup
5,['6 to 7'],cashews chopped,(kaju) - optional,oats halwa ,
6,['3 to 4'],almonds chopped,(badam) - optional,oats halwa ,
7,['3 to 4'],pistachios chopped,(pista) - optional,oats halwa ,
8,['⅛'],cardamom powder,(choti elaichi powder),oats halwa ,teaspoon
9,['⅛'],nutmeg powder,(jaiphal powder),oats halwa ,teaspoon
10,['1'],saffron strands,(kesar) - optional,oats halwa ,pinch
0,['3'],medium to large tomatoes,OR 250 grams tomatoes OR 1.5 cups chopped tomatoes,matar masala ,
1,['10 to 12'],cashews,(kaju),matar masala ,
2,['1'],matar,OR 140 grams matar (peas),matar masala ,cup
3,['1 to 1.5'],ginger+green chili paste,OR ½ inch ginger + 1 to 2 green chilies - crushed to a paste in a mortar-pestle,matar masala ,teaspoon
4,['2'],"fresh curd,",beaten (dahi or yogurt),matar masala ,tablespoon
5,['2'],milk powder,or dairy whitener,matar masala ,tablespoon
6,,a generous pinch of asafoetida,(hing),matar masala ,
7,['½'],turmeric powder,(haldi),matar masala ,teaspoon
8,['½ to ¾'],red chili powder,(lal mirch powder),matar masala ,teaspoon
9,['1'],cumin powder,(jeera),matar masala ,teaspoon
10,['1'],coriander powder,(dhania powder),matar masala ,teaspoon
11,['½'],garam masala powder,,matar masala ,teaspoon
12,['½'],"kasuri methi,",crushed (dry fenugreek leaves),matar masala ,teaspoon
13,['1'],water,,matar masala ,cup
14,['3'],oil,,matar masala ,tablespoon
15,,salt as required,,matar masala ,
16,['1'],tej patta,(indian bay leaf),matar masala ,
17,['2'],cloves,(lavang),matar masala ,
18,['2'],green cardamoms,(chotti elachi),matar masala ,
19,['1'],cinnamon,(dalchini),matar masala ,inch
20,['1 or 2'],single strands of mace,(javitri) - optional,matar masala ,
0,['1'],rice,OR 200 grams rice - which yields 1 cup rice and 1 cup + ½ tablespoon of broken rice,rice rava upma ,cup
1,['2'],whole peppercorns,(sabut kali mirch),rice rava upma ,teaspoon
2,['¾'],skinned lilva beans,(avrekaalu or hyacinth beans) - you can use frozen or fresh ones. I used frozen beans,rice rava upma ,cup
3,['1'],oil,,rice rava upma ,tablespoon
4,['1'],mustard seeds,(rai),rice rava upma ,teaspoon
5,['1'],chana dal,(split yellow peas),rice rava upma ,teaspoon
6,['1'],urad dal,(split black gram),rice rava upma ,teaspoon
7,['1'],finely chopped green chili,(hari mirch),rice rava upma ,
8,['1'],halved spicy dry red chili,(sookhi lal mirch),rice rava upma ,
9,['2'],of curry leaves,(kadi patta),rice rava upma ,tablespoons
10,,salt to taste,,rice rava upma ,
11,['2.5'],of water,,rice rava upma ,cups
0,['200'],white button mushrooms,,mushroom pulao ,grams
1,['2'],oil,,mushroom pulao ,tablespoons
2,['1'],heaped basmati rice,"or 200 grams basmati rice, soaked in enough water for 30 minutes",mushroom pulao ,cup
3,['1'],"large onion,",thinly sliced or 80 grams onion,mushroom pulao ,
4,['3 to 4'],"garlic cloves + 1 inch ginger + 1 green chili,",crushed coarsely in mortar-pestle,mushroom pulao ,
5,['1.5 to 1.75'],"water,",for aldente texture add 1.5 cups water,mushroom pulao ,cups
6,['1'],lemon juice,,mushroom pulao ,teaspoon
7,,salt as required,,mushroom pulao ,
8,['2'],"coriander leaves,",chopped (dhania patta),mushroom pulao ,tablespoons
9,['½'],cumin seeds,(jeera),mushroom pulao ,teaspoon
10,['1'],cinnamon,(dalchini),mushroom pulao ,inch
11,['2'],green cardamoms,(choti elaichi),mushroom pulao ,
12,['1'],"black cardamom,",optional (badi elaichi),mushroom pulao ,
13,['2 to 3'],cloves,(lavang),mushroom pulao ,
14,['1'],small to medium tej patta,(indian bay leaf),mushroom pulao ,
0,['1.5'],masala chana dal,(spiced and fried bengal gram),chana dal bhel puri ,cup
1,['1'],"medium sized onion,",very finely chopped,chana dal bhel puri ,
2,['1'],"medium sized tomato,",very finely chopped,chana dal bhel puri ,
3,['1'],"green chili,",very finely chopped (hari mirch),chana dal bhel puri ,
4,['1'],"finely chopped raw mango,",optional,chana dal bhel puri ,tablespoon
5,['1'],"coriander leaves,",chopped (dhania patta),chana dal bhel puri ,tablespoon
6,['½ or 1'],lemon juice,,chana dal bhel puri ,teaspoon
7,['1'],chaat masala powder,,chana dal bhel puri ,teaspoon
8,,"crushed papdi,",optional,chana dal bhel puri ,
9,,sev for garnishing,,chana dal bhel puri ,
10,,few coriander leaves for garnishing,(dhania patta),chana dal bhel puri ,
11,,salt as required,- as there is already salt in the chana dal. so add carefully,chana dal bhel puri ,
12,,"a few papdis for serving,",optional,chana dal bhel puri ,
0,,stalks and leaves from 1 large cauliflower,(phool gobi),gobi ke danthal ki sabzi ,
1,['1'],medium onion,finely chopped - about 1.25 heaped cup of chopped onions,gobi ke danthal ki sabzi ,
2,['¾'],ginger,(adrak) - finely chopped,gobi ke danthal ki sabzi ,inch
3,['2 to 3'],garlic cloves,(lahsun) - crushed,gobi ke danthal ki sabzi ,
4,['1'],green chili,chopped Or ½ teaspoon kashmiri red chili powder or deghi mirch,gobi ke danthal ki sabzi ,
5,['¼'],turmeric powder,(haldi),gobi ke danthal ki sabzi ,teaspoon
6,['1'],asafoetida,(hing),gobi ke danthal ki sabzi ,pinch
7,['¼'],garam masala,,gobi ke danthal ki sabzi ,teaspoon
8,['½ to 1'],dry mango powder,(amchur powder) or add as per your taste,gobi ke danthal ki sabzi ,teaspoon
9,['2 to 3'],water,,gobi ke danthal ki sabzi ,tablespoon
10,['2'],mustard oil,(sarson ka tel),gobi ke danthal ki sabzi ,tablespoon
11,,salt as required,,gobi ke danthal ki sabzi ,
0,['½'],sabudana,"(tapioca pearls) - for a denser kheer, you can add ⅔ to ¾ cup sabudana",sabudana kheer ,cup
1,['2'],organic milk,,sabudana kheer ,cups
2,['2'],water,,sabudana kheer ,cups
3,['4 to 5'],organic unrefined cane sugar,or as required,sabudana kheer ,tablespoon
4,['4 to 5'],green cardamoms,"(choti elaichi), husked and crushed in a mortar-pestle to a semi fine powder",sabudana kheer ,
5,['2'],chopped cashews,(kaju),sabudana kheer ,tablespoon
6,['½'],raisins,(kishmish),sabudana kheer ,tablespoon
7,['3 to 4'],saffron strands,(kesar) - optional,sabudana kheer ,
0,['2'],split yellow mustard,(rai ka kuria) Or 1.5 teaspoon whole mustard seeds,achari paneer tikka ,teaspoon
1,['2'],fennel seeds,(saunf),achari paneer tikka ,teaspoon
2,['½'],nigella seeds,(kalonji),achari paneer tikka ,teaspoon
3,['¼'],fenugreek seeds,(methi dana),achari paneer tikka ,teaspoon
4,['2 to 3'],dry red chilies,(sookhi lal mirch) - deseeded and broken into small pieces,achari paneer tikka ,
5,,as substitute for above,you can also add 2 tablespoon of ready made dry achar masala or pickle mix,achari paneer tikka ,
6,['250 to 300'],paneer,(cottage cheese) - sliced into cubes or squares,achari paneer tikka ,grams
7,['1'],medium capsicum,(bell pepper or shimla mirch - red or green or yellow) - diced,achari paneer tikka ,
8,['1'],"medium onion,",halved and the layers separated,achari paneer tikka ,
9,['1'],"medium tomato,",diced (optional),achari paneer tikka ,
10,['7'],full fat hung curd,(hung yogurt ) or thick curd (yogurt or dahi),achari paneer tikka ,tablespoon
11,['2'],besan,(gram flour) Or corn starch (corn flour),achari paneer tikka ,tablespoon
12,['4 to 5'],medium garlic cloves + 1 inch ginger,- about 1.5 teaspoon ginger garlic paste (adrak lahsun ka paste),achari paneer tikka ,
13,['½'],dry mango powder,(amchur powder) or lime juice - add as required for more tang if preferred,achari paneer tikka ,teaspoon
14,['¼'],turmeric powder,(haldi),achari paneer tikka ,teaspoon
15,['½'],coriander powder,(dhania powder) - optional,achari paneer tikka ,teaspoon
16,['½'],red chili powder,(lal mirch powder),achari paneer tikka ,teaspoon
17,['½'],crushed dry fenugreek leaves,(kasuri methi),achari paneer tikka ,teaspoon
18,['1'],asafoetida,(hing) - optional,achari paneer tikka ,pinch
19,['1'],"mustard oil,",preferred or any vegetable oil,achari paneer tikka ,teaspoon
20,,salt as required,,achari paneer tikka ,
21,['1'],small to medium onion,- sliced thinly or sliced thinly into roundels,achari paneer tikka ,
22,['1'],small lime,or 1 lemon - sliced or quartered,achari paneer tikka ,
23,,a few pinches of chaat masala powder,,achari paneer tikka ,
24,['1'],of chopped coriander leaves,or mint leaves (optional),achari paneer tikka ,tablespoon
0,['3 to 4'],medium potatoes,(aloo) or 250 grams aloo,jeera aloo ,
1,,enough water,for boiling potatoes,jeera aloo ,
2,['1 or 2'],green chilies,(hari mirch) - chopped,jeera aloo ,
3,['1.5'],cumin,(jeera),jeera aloo ,teaspoon
4,['¼ to ½'],teaspoon lemon juice,,jeera aloo ,
5,['½ to 2/3'],peanut oil,or ghee,jeera aloo ,tablespoon
6,,salt ,as required,jeera aloo ,
0,['150'],hakka noodles or plain noodles,Or 1 pack of noodles,schezwan noodles ,grams
1,['5'],of water,to cook noodles,schezwan noodles ,cups
2,['1 to 2'],oil to coat the noodles,,schezwan noodles ,teaspoon
3,['2 to 3'],drops of oil to be added while heating water.,,schezwan noodles ,
4,['1.5 to 2'],finely chopped vegetables,"(a mix of carrots. beans, cabbage, mushrooms, capsicum/green bell pepper)",schezwan noodles ,cups
5,['2 to 3'],small spring onions,"Or 1-2 medium spring onions Or 1/4 cup spring onions - finely chopped, reserve the greens for garnish",schezwan noodles ,
6,['3 to 4'],garlic,(lahsun) finely chopped,schezwan noodles ,
7,['1'],"schezwan sauce,",you can add more for a more spicy taste,schezwan noodles ,tablespoon
8,['¼ to ½'],black pepper powder,(kali mirch powder) or as required,schezwan noodles ,teaspoon
9,['1'],rice vinegar,or regular white vinegar or apple cider vinegar,schezwan noodles ,teaspoon
10,['1 to 1.5'],of spring onion greens,,schezwan noodles ,tablespoon
11,['2'],oil for stir frying,,schezwan noodles ,tablespoon
12,,salt as required,,schezwan noodles ,
0,['1'],basmati rice,or 200 grams basmati rice,methi pulao ,cup
1,['2'],methi leaves,"(fenugreek leaves) or 80 grams methi leaves, finely chopped",methi pulao ,cups
2,['¾'],chopped mix vegetables,,methi pulao ,cup
3,['1'],"medium to large onion,",sliced or ½ cup thinly sliced onions,methi pulao ,
4,['½'],ginger (adrak) + 3 to 4 garlic (lahsun) + 2 to 3 green chilies (hari mirch),- crushed to a paste in mortar-pestle,methi pulao ,inch
5,['¼'],turmeric powder,(haldi),methi pulao ,teaspoon
6,['½'],red chili powder,(lal mirch powder),methi pulao ,teaspoon
7,['½'],coriander powder,(dhania powder),methi pulao ,teaspoon
8,['2'],water,,methi pulao ,cups
9,['2 to 3'],oil,,methi pulao ,tablespoon
10,,salt as required,,methi pulao ,
11,['½'],cumin seeds,(jeera),methi pulao ,teaspoon
12,['1'],black cardamom,(badi elachi),methi pulao ,
13,['2'],green cardamoms,(chotti elachi),methi pulao ,
14,['1'],cinnamon,(dalchini),methi pulao ,inch
15,['3 to 4'],cloves,(lavang),methi pulao ,
16,['1 or 2'],single strand of mace,(javitri) - optional,methi pulao ,
0,['¼'],pigeon pea lentils,(tuvar dal or arhar dal),lemon rasam ,cup
1,['1'],turmeric powder,(haldi),lemon rasam ,pinch
2,['¾ to 1'],water for pressure cooking,,lemon rasam ,cup
3,['⅓'],chopped coriander leaves,(cilantro leaves or dhania patta),lemon rasam ,cup
4,['2'],cumin seeds,,lemon rasam ,teaspoon
5,['½'],black pepper,(sabut kali mirch),lemon rasam ,teaspoon
6,['1 or 2'],"green chilies,",chopped (hari mirch),lemon rasam ,
7,['½'],"ginger,",roughly chopped (adrak),lemon rasam ,inch
8,['4 to 5'],"garlic cloves,",roughly chopped (lahsun),lemon rasam ,
9,['1'],cold processed sesame oil,or any oil,lemon rasam ,tablespoon
10,['½'],mustard seeds,(rai),lemon rasam ,teaspoon
11,['12 to 15'],curry leaves,(kadi patta),lemon rasam ,
12,['1 to 2'],dry red chilies,(sookhi lal mirch),lemon rasam ,
13,['1'],asafoetida,(hing),lemon rasam ,pinch
14,['¼'],turmeric powder,(haldi),lemon rasam ,teaspoon
15,['1 to 1.5'],"water,",add water as required,lemon rasam ,cups
16,['2.5 to 3'],"lemon juice,",add lemon juice as per taste,lemon rasam ,tablespoon
17,,salt as required,,lemon rasam ,
18,,some coriander leaves for garnishing,(dhania patta),lemon rasam ,
0,['2'],semolina,(sooji or fine rava),rava modak ,cups
1,['2'],grated coconut,,rava modak ,cups
2,['1.5'],powdered jaggery,or add as required,rava modak ,cup
3,['2.5'],water,,rava modak ,cups
4,['4 or 5'],green cardamoms,"(choti elaichi), crushed or powdered",rava modak ,
5,['2'],oil or ghee,,rava modak ,teaspoon
6,,salt as required,,rava modak ,
0,['½'],condensed milk,OR 125 ml condensed milk,chocolate chip ice cream ,cup
1,['3'],milk,,chocolate chip ice cream ,tablespoons
2,['3'],cocoa powder,,chocolate chip ice cream ,tablespoons
3,['⅓'],tightly packed brown sugar,- can use regular sugar also,chocolate chip ice cream ,cup
4,['2'],cream,(25% to 50% fat) OR 500 ml cream,chocolate chip ice cream ,cups
5,['¼'],chocolate chips,"- can use sweet, semi sweet or white chocolate chips",chocolate chip ice cream ,cup
6,['1'],chocolate chips,for placing on top - OPTIONAL,chocolate chip ice cream ,tablespoon
0,['¼'],mint leaves,(pudina patta),green chutney ,cup
1,['½'],coriander leaves,(dhania patta),green chutney ,cup
2,['1'],medium sized onion,,green chutney ,
3,['1'],medium sized tomato,,green chutney ,
4,['½'],ginger,- peeled and chopped (adrak),green chutney ,inch
5,['3 to 4'],garlic,- peeled chopped (lahsun),green chutney ,
6,['2'],of white radish,(mooli) - optional,green chutney ,inch
7,['1'],"green chili,","chopped (increasing the number of green chilies will increase the heat in the chutney. for a hotter and spicier version, you can add 2 green chilies)",green chutney ,
8,['½'],dry pomegranate seeds,(anardana) - substitute dry mango powder (amchur) or lemon juice or raw mango instead of dry pomegranate seeds. adjust accordingly.,green chutney ,teaspoon
9,,black salt or rock salt as required,,green chutney ,
10,['1 or 2'],of water to grind the chutney,,green chutney ,tablespoon
0,['1'],cinnamon,(dalchini),paneer kalimirch , inch 
1,['2 '],green cardamoms,(chotti elaichi),paneer kalimirch ,
2,['2 '],cloves,(lavang),paneer kalimirch ,
3,['1 or 2 '],single mace strands,(javitri),paneer kalimirch ,
4,['½ '],chopped onion ,"or 1 medium to large onion, chopped",paneer kalimirch ,cup 
5,['½ '],chopped ginger ,"or ½ inch ginger, chopped",paneer kalimirch ,teaspoon 
6,['½ '],chopped garlic ,"or 2 to 3 medium garlic cloves, chopped",paneer kalimirch ,teaspoon 
7,['1 '],"green chili,",chopped or 1 teaspoon chopped green chilies,paneer kalimirch ,
8,['10 to 12 '],cashews,,paneer kalimirch ,
9,['⅓ to ½ '],water ,for grinding,paneer kalimirch ,cup 
10,['½ '],whole black pepper,(sabut kali mirch),paneer kalimirch ,teaspoon 
11,['2 '],oil ,or ghee,paneer kalimirch ,tablespoon 
12,['1 '],small tej patta,(indian bay leaf),paneer kalimirch ,
13,['½ '],caraway seeds,(shahi jeera),paneer kalimirch ,teaspoon 
14,['¼'],fresh curd,- beaten (use full fat fresh curd),paneer kalimirch , cup 
15,['¼ '],red chilli powder,,paneer kalimirch ,teaspoon 
16,['¼ '],garam masala powder,,paneer kalimirch ,teaspoon 
17,['½ '],coriander powder,,paneer kalimirch ,teaspoon 
18,['½ '],water ,or add as required,paneer kalimirch ,cup 
19,,salt ,as required,paneer kalimirch ,
20,['200 '],"paneer, ",cubed,paneer kalimirch ,grams 
21,['2 '],cream ,- OPTIONAL,paneer kalimirch ,tablespoons 
22,['1 '],kewra water,(pandanus water) - can also use rose water,paneer kalimirch ,teaspoon 
23,,some mint leaves ,or coriander leaves for garnish,paneer kalimirch ,
24,['¼ '],"black pepper,",crushed for garnish,paneer kalimirch ,teaspoon 
0,['½'],moong dal,(split and skinned mung lentil),varan bhaat ,cup
1,['½'],arhar dal,(spilt and skinned pigeon pea lentils),varan bhaat ,cup
2,['2 to 2.5'],water,for pressure cooking,varan bhaat ,cups
3,,add 1 or 1.5 cup more water later,(optional),varan bhaat ,
4,['½'],turmeric powder,(haldi),varan bhaat ,teaspoon
5,['5 to 6'],curry leaves,(kadi patta) - optional,varan bhaat ,
6,['1'],crushed cumin,or cumin powder (jeera powder),varan bhaat ,teaspoon
7,,a pinch of asafoetida,(hing),varan bhaat ,
8,['1'],fresh grated coconut,- ground with little water,varan bhaat ,cup
9,,salt as required,,varan bhaat ,
0,['½'],chana dal,(split and husked bengal gram) - soaked in enough water,veg vada ,cup
1,['⅓'],finely chopped cabbage,(patta gobhi),veg vada ,cup
2,['¼'],finely chopped carrot,(gajar),veg vada ,cup
3,['¼'],finely chopped cauliflower,(phool gobi),veg vada ,cup
4,['¼'],finely chopped capsicum,(shimla mirch or bell pepper),veg vada ,cup
5,['⅛'],finely chopped french beans,,veg vada ,cup
6,['⅓'],"finely chopped onions or 1 medium onion, chopped",,veg vada ,cup
7,['1 to 2'],green chillies,- chopped,veg vada ,
8,['⅓'],cup chopped coriander leaves,(dhania patta),veg vada ,
9,['1'],teaspoon chopped ginger,(adrak),veg vada ,
10,['1'],teaspoon chopped curry leaves,OR 8 to 10 chopped curry leaves (kadi patta),veg vada ,
11,,oil for deep frying,,veg vada ,
12,,salt as required,,veg vada ,
0,['1'],dried black chickpeas,(kala chana) or 2.5 to 3 cups cooked black chickpeas,kala chana chaat ,cup
1,['1'],"medium onion,",finely chopped,kala chana chaat ,
2,['1'],"large tomato,",finely chopped,kala chana chaat ,
3,['1'],"small raw mango,",peeled and finely chopped (optional) - the one i added was a little ripe,kala chana chaat ,
4,['1 to 2'],"green chilies,",finely chopped or minced,kala chana chaat ,
5,['1'],red chili powder,or cayenne pepper,kala chana chaat ,teaspoon
6,['1'],chaat masala,,kala chana chaat ,teaspoon
7,['1'],roasted cumin powder,(bhuna jeera powder),kala chana chaat ,teaspoon
8,['1'],dry mango powder,(amchur powder),kala chana chaat ,teaspoon
9,['2 to 3'],lemon juice,or add as required,kala chana chaat ,teaspoons
10,['½'],black salt,- add more if required,kala chana chaat ,teaspoon
11,,some chopped coriander leaves for garnishing,,kala chana chaat ,
0,['1'],rajma,(kidney beans),rajma masala ,cup
1,['2'],water for pressure cooking,,rajma masala ,cups
2,['¼'],"salt,",optional,rajma masala ,teaspoon
3,['1'],medium sized onion,OR 60 grams onions,rajma masala ,
4,['2'],medium to large tomatoes,OR 170 grams tomatoes,rajma masala ,
5,['½'],cumin seeds,(jeera),rajma masala ,teaspoon
6,['½'],caraway seeds,(shahi jeera),rajma masala ,teaspoon
7,['1'],inch cinnamon,(dalchini),rajma masala ,
8,['2'],green cardamoms,(choti elaichi),rajma masala ,
9,['3'],cloves,(lavang),rajma masala ,
10,,seeds of 1 black cardamom,(badi elaichi),rajma masala ,
11,['3'],single strands of mace,(javitri),rajma masala ,
12,['⅛'],nutmeg powder,OR 1 to 2 pinch of nutmeg powder or grated nutmeg,rajma masala ,teaspoon
13,['1'],ginger-garlic paste,(adrak-lahsun ka paste),rajma masala ,teaspoon
14,['½'],kashmiri red chilli powder,(kashmiri mirch powder),rajma masala ,teaspoon
15,['½'],coriander powder,(dhania powder),rajma masala ,teaspoon
16,,salt as required,,rajma masala ,
17,['½'],water,to be added later,rajma masala ,cup
0,['1'],medium semi ripe papaya,- approx 4.5 cups of chopped papaya or 3.5 to 4 cups of grated papaya,papaya halwa ,
1,['2 to 3'],oil,or ghee,papaya halwa ,tablespoon
2,['4 to 5'],sugar,- or as required as per the sweetness of the papaya,papaya halwa ,tablespoon
3,['2 to 3'],"green cardamom,",powdered or ½ teaspoon green cardamom powder (choti elaichi powder),papaya halwa ,
4,['2'],almond powder or milk powder or coconut powder or evaporated milk solids (khoya or mawa),- i used 15 almonds and ground them to get approx 2 tablespoon of almond powder,papaya halwa ,tablespoon
5,['12 to 15'],halved cashews,(kaju) or as required,papaya halwa ,
0,['240'],whole wheat flour (atta),or 2 cups whole wheat flour,shakkar pare ,grams
1,['2'],ghee,,shakkar pare ,tablespoon
2,['½'],water,or add as required,shakkar pare ,cup
3,['1'],sugar,or 150 grams sugar - can also use 1 cup grated or powdered jaggery,shakkar pare ,cup
4,['½'],water,,shakkar pare ,cup
5,,a few saffron strands,(kesar) - optional,shakkar pare ,
6,,oil for deep frying,,shakkar pare ,
0,['3 to 4'],medium potatoes,"or aloo, boiled and mashed","aloo paratha, how to make aloo paratha ",
1,['1 to 2'],"green chilies,",chopped finely,"aloo paratha, how to make aloo paratha ",
2,['¼ to ½'],kashmiri red chilli powder,"or deghi mirch, optional","aloo paratha, how to make aloo paratha ",teaspoon
3,['¼ to ½'],punjabi garam masala powder,or garam masala powder,"aloo paratha, how to make aloo paratha ",teaspoon
4,['½ to 1'],amchur,(dry mango powder),"aloo paratha, how to make aloo paratha ",teaspoon
5,['2 to 3'],"finely chopped coriander leaves,",optional,"aloo paratha, how to make aloo paratha ",teaspoons
6,,salt,as required,"aloo paratha, how to make aloo paratha ",
7,,oil,"or ghee, as required for roasting parathas","aloo paratha, how to make aloo paratha ",
8,['2'],whole wheat flour,(atta),"aloo paratha, how to make aloo paratha ",cups
9,['½'],salt,or add as required,"aloo paratha, how to make aloo paratha ",teaspoon
10,['1 to 2'],oil,or ghee,"aloo paratha, how to make aloo paratha ",teaspoons
11,,water as required for kneading,,"aloo paratha, how to make aloo paratha ",
12,,white butter,or yogurt to serve with the aloo parathas,"aloo paratha, how to make aloo paratha ",
13,,mango pickle,or lemon pickle,"aloo paratha, how to make aloo paratha ",
0,,half a loaf of bread,or 8 slices each of 0.75 inches - (any bread of your choice),"garlic bread on tawa, how to make garlic bread ",
1,['2'],"butter,",salted or unsalted,"garlic bread on tawa, how to make garlic bread ",tablespoon
2,['3 to 4'],medium sized garlic,(lahsun) - minced or grated,"garlic bread on tawa, how to make garlic bread ",
3,,red chili flakes,as required,"garlic bread on tawa, how to make garlic bread ",
4,,dry oregano,as required or your favorite herbs,"garlic bread on tawa, how to make garlic bread ",
5,,black pepper as required,- optional,"garlic bread on tawa, how to make garlic bread ",
6,,"salt as required,",to be added if using unsalted butter,"garlic bread on tawa, how to make garlic bread ",
0,['1'],whole masoor dal,(sabut masoor dal),sabut masoor dal ,cup
1,['2.5 to 3'],water,for pressure cooking the dal,sabut masoor dal ,cups
2,['1'],cumin seeds,(jeera),sabut masoor dal ,teaspoon
3,['1'],ginger-garlic paste,or crushed ginger-garlic (adrak-lahsun paste),sabut masoor dal ,teaspoon
4,['1'],"medium onion,",chopped,sabut masoor dal ,
5,['2'],"medium tomatoes,",chopped,sabut masoor dal ,
6,['1'],"green chili,",chopped (hari mirch),sabut masoor dal ,
7,['1'],turmeric powder,(haldi),sabut masoor dal ,teaspoon
8,['½'],red chili powder,(lal mirch powder),sabut masoor dal ,teaspoon
9,['½'],punjabi garam masala powder or regular garam masala powder,,sabut masoor dal ,teaspoon
10,['1'],crushed kasuri methi,(dry fenugreek leaves),sabut masoor dal ,teaspoon
11,['2 to 3'],cream,(optional),sabut masoor dal ,tablespoon
12,['2'],oil,or ghee,sabut masoor dal ,tablespoon
13,,a few chopped coriander leaves,or some crushed kasuri methi or cream for garnishing,sabut masoor dal ,
14,,salt as required,,sabut masoor dal ,
15,['1'],hot water,or as required ,sabut masoor dal ,cup
0,['2'],badam pisin,(katira gond or almond gum),jigarthanda ,teaspoons
1,['2'],water,,jigarthanda ,cups
2,['2'],milk,,jigarthanda ,cups
3,['4'],condensed milk,or add as required,jigarthanda ,tablespoons
4,['4'],nannari syrup or rose syrup,,jigarthanda ,teaspoons
5,['2'],vanilla ice cream,or any ice cream,jigarthanda ,scoops
0,['2 '],green chilies ,or 2 teaspoon green chilies ,aloo phulkopir dalna ,
1,['2 '],ginger ,OR 7 grams ginger OR 2 teaspoon,aloo phulkopir dalna ,inch 
2,['3 to 4 '],water ,for grinding,aloo phulkopir dalna ,teaspoon 
3,['260 '],cauliflower ,OR 1 small to medium cauliflower OR 2.5 to 2.75 cups cauliflower florets ,aloo phulkopir dalna ,grams 
4,['½'],salt,,aloo phulkopir dalna ,teaspoon 
5,,enough hot water ,for soaking cauliflower florets,aloo phulkopir dalna ,
6,['300 '],potatoes ,OR 2 cups chopped potatoes OR 3 to  4 medium potatoes,aloo phulkopir dalna ,grams 
7,['5 '],mustard oil,(sarson ka tel),aloo phulkopir dalna ,tablespoons 
8,['2 '],small to medium tej patta,(indian bay leaf),aloo phulkopir dalna ,
9,['½ '],cumin seeds,(jeera),aloo phulkopir dalna ,teaspoon 
10,['150 '],tomatoes ,OR 2 medium tomatoes OR ¾ cup finely chopped tomatoes,aloo phulkopir dalna ,grams 
11,['¼ '],turmeric powder,(haldi),aloo phulkopir dalna ,teaspoon 
12,['½ '],kashmiri red chilli powder,,aloo phulkopir dalna ,teaspoon 
13,['½ '],cumin powder,(jeera powder),aloo phulkopir dalna ,teaspoon 
14,['2 '],coriander powder,(dhania powder),aloo phulkopir dalna ,teaspoons 
15,['½ '],water ,to be added later,aloo phulkopir dalna ,cup 
16,['1 '],sugar,,aloo phulkopir dalna ,teaspoon 
17,,salt ,as required,aloo phulkopir dalna ,
18,['1 '],ghee,,aloo phulkopir dalna ,teaspoon 
19,['2 '],green cardamoms,(choti elaichi),aloo phulkopir dalna ,
20,['2'], cinnamon ,- if using cassia then use 1 inch,aloo phulkopir dalna ,inch 
21,['3 to 4 '],cloves,(lavang),aloo phulkopir dalna ,
0,['2'],maida,(refined flour or all purpose flour),kalkal ,cups
1,['4'],ghee or butter,,kalkal ,tablespoons
2,['1'],salt,,kalkal ,pinch
3,['⅛'],baking soda,OR 1 to 2 pinches baking soda,kalkal ,teaspoon
4,['1'],vanilla extract or vanilla essence,,kalkal ,teaspoon
5,['⅓'],milk,,kalkal ,cup
6,,oil,"as required, for deep frying kalkal",kalkal ,
7,['⅓'],powdered sugar,for coating,kalkal ,cup
0,['260 to 270'],sweet potatoes,or 1.5 to 2 cups chopped boiled sweet potatoes (shakarkandi),sweet potato chaat ,grams
1,['¼'],black pepper powder,(kali mirch powder),sweet potato chaat ,teaspoon
2,['½'],amchur powder,(dry mango powder) or add as required,sweet potato chaat ,teaspoon
3,['½ to 1'],lemon juice,,sweet potato chaat ,teaspoon
4,,rock salt,or sendha namak as required,sweet potato chaat ,
0,['1'],cashews,(kaju),how to make cashew yoghurt | cashew curd ,cup
1,['¾ to 1'],water,,how to make cashew yoghurt | cashew curd ,cup
2,['2 to 3'],culture,or starter,how to make cashew yoghurt | cashew curd ,teaspoon
0,['1'],sabudana,(or tapioca pearls),sabudana khichdi ,cup
1,['2'],small to medium size potatoes,(aloo),sabudana khichdi ,
2,['½'],roasted peanuts,(bhuni moongphali),sabudana khichdi ,cup
3,['8 to 10'],curry leaves,(kadi patta) - optional,sabudana khichdi ,
4,['1'],grated ginger,(adrak) - optional,sabudana khichdi ,teaspoon
5,['1'],green chili,- chopped (hari mirch),sabudana khichdi ,
6,['1'],cumin,(jeera),sabudana khichdi ,teaspoon
7,['¼'],grated fresh coconut,(optional),sabudana khichdi ,cup
8,['½ to 1'],sugar or as required,,sabudana khichdi ,teaspoon
9,['½ to 1'],lemon juice or as required,(optional),sabudana khichdi ,teaspoon
